,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
0,Zeya,100,RU,1581363789,95,53.75,53.75,-15.24,3.89
1,Bengkulu,38,ID,1581363615,88,-3.8,-3.8,22.95,1.36
2,Hasaki,20,JP,1581363792,69,35.73,35.73,1.0,3.1
3,Atuona,15,PF,1581363794,75,-9.8,-9.8,27.23,7.33
4,Avarua,98,CK,1581363796,83,-21.21,-21.21,28.0,5.7
5,Hilo,1,US,1581363641,53,19.73,19.73,24.0,4.41
6,Busselton,95,AU,1581363799,37,-33.65,-33.65,16.67,6.5
7,Punta Arenas,40,CL,1581363716,34,-53.15,-53.15,18.0,6.2
8,Fort Saint James,100,CA,1581363803,98,54.43,54.43,-0.6,1.91
9,Berlevag,100,NO,1581363804,94,70.86,70.86,3.08,7.88
10,Khor,96,RU,1581363806,90,47.89,47.89,-19.89,1.39
11,Bethel,90,US,1581363808,81,41.37,41.37,8.0,4.1
12,Morondava,28,MG,1581363809,86,-20.28,-20.28,24.13,1.36
13,Arrondissement de Bastia,9,FR,1581363541,25,42.67,42.67,23.0,11.8
14,Balabac,100,PH,1581363813,80,7.99,7.99,26.25,8.47
15,Geraldton,0,AU,1581363815,78,-28.77,-28.77,22.0,1.0
16,Mahebourg,75,MU,1581363816,88,-20.41,-20.41,26.0,5.7
17,Ushuaia,75,AR,1581363797,50,-54.8,-54.8,14.0,5.7
18,Hong Kong,40,HK,1581363708,68,22.29,22.29,18.89,4.1
19,Lebu,0,CL,1581363821,57,-37.62,-37.62,20.6,4.95
20,Albany,90,US,1581363823,80,42.6,42.6,5.0,3.6
21,Marawi,63,PH,1581363825,95,8.0,8.0,22.78,2.24
22,Kapaa,20,US,1581363747,68,22.08,22.08,21.0,9.3
23,Tual,100,ID,1581363828,76,-5.67,-5.67,27.74,6.26
24,Hobart,75,AU,1581363616,93,-42.88,-42.88,17.22,1.5
25,Kivertsi,100,UA,1581363832,88,50.83,50.83,3.91,8.99
26,Sao Felix do Xingu,88,BR,1581363833,91,-6.64,-6.64,26.69,0.85
27,Huanta,75,PE,1581363835,49,-12.93,-12.93,22.0,4.1
28,Tocopilla,100,CL,1581363837,39,-22.09,-22.09,21.64,3.76
29,Rikitea,2,PF,1581363839,73,-23.12,-23.12,26.56,5.54
